paper_index,pmid,pmcid,doi,source,author_order,author_name,author_affiliation_numbers,author_affiliations,warnings
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,18,Chi Young Jung,17,"Division of Respiratory and Critical Care Medicine, Department of Internal Medicine, Daegu Catholic University Medical Center, Daegu, Korea.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,19,Christopher Harle,18,"University of Florida Health, Gainesville, FL, USA.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,20,Christian Reich,2,"Real World Solutions, IQVIA, Cambridge, MA, USA.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,21,Clair Blacketer,5,"Janssen R&D, Titusville NJ, USA, 2) Department of Medical Informatics, Erasmus University Medical Center, Rotterdam, The Netherlands.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,22,Daniel Morales,19,"Division of Population Health and Genomics, University of Dundee, UK.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,23,David A Dorr,20,"Department of Medical Informatics & Clinical Epidemiology, Oregon Health & Science University, Portland, OR, USA.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,24,Edward Burn,3,"Fundació Institut Universitari per a la recerca a l'Atenció Primària de Salut Jordi Gol i Gurina (IDIAPJGol), Barcelona, Spain.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,25,Elena Roel,,,"PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,26,Eng Hooi Tan,6,"Centre for Statistics in Medicine, NDORMS, University of Oxford, UK.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,27,Evan Minty,21,"O'Brien Institute for Public Health, Faculty of Medicine, University of Calgary, Canada.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,28,Frank DeFalco,13,"Janssen R&D, Titusville NJ, USA.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,29,Gabriel de Maeztu,22,"IOMED, Barcelona, Spain.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,30,Gigi Lipori,23,University of Florida Health.,"PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,31,Heba Alghoul,24,"Faculty of Medicine, Islamic University of Gaza, Palestine.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,32,Hong Zhu,25,"Nanfang Hospital, Southern Medical University, Guangzhou, China.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,33,Jason Thomas,26,"Department of Biomedical Informatics and Medical Education, University of Washington, Seattle, WA, USA.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,34,Jiang Bian,27,University of Florida.,"PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,35,Jimyung Park,28,"Department of Biomedical Sciences, Ajou University Graduate School of Medicine, Suwon, Korea.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,36,Jordi Martínez Roldán,29,"Director of Innovation and Digital Transformation, Hospital del Mar, Barcelona, Spain.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,37,Jose Posada,30,"Stanford University School of Medicine, Stanford, California, USA.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,38,Juan M Banda,31,"Georgia State University, Department of Computer Science, Atlanta, GA, USA.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,39,Juan P Horcajada,32,"Department of Infectious Diseases, Hospital del Mar, Institut Hospital del Mar d'Investigació Mèdica (IMIM), Universitat Autònoma de Barcelona. Universitat Pompeu Fabra, Barcelo.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,40,Julianna Kohler,33,"United States Agency for International Development, Washington, DC, USA.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,41,Karishma Shah,34,"Nuffield Department of Orthopaedics, Rheumatology and Musculoskeletal Sciences, University of Oxford, Oxford, UK.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,42,Karthik Natarajan,35,"Department of Biomedical Informatics, Columbia University Irving Medical Center, New York, NY 10032, USA, 2) New York-Presbyterian Hospital, 622 W 168 St, PH20 New York, NY 10032 USA.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,43,Kristine Lynch,36,"VINCI, VA Salt Lake City Health Care System, Salt Lake City, VA, & Division of Epidemiology, University of Utah, Salt Lake City, UT.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,44,Li Liu,37,"Biomedical Big Data Center, Nanfang Hospital, Southern Medical University, Guangzhou, China.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,45,Lisa Schilling,38,"Data Science to Patient Value Program, University of Colorado Anschutz Medical Campus.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,46,Martina Recalde,3,"Fundació Institut Universitari per a la recerca a l'Atenció Primària de Salut Jordi Gol i Gurina (IDIAPJGol), Barcelona, Spain.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,47,Matthew Spotnitz,15,"Department of Biomedical Informatics, Columbia University Irving Medical Center, New York, NY 10032, USA.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,48,Mengchun Gong,39,"DHC Technologies Co. Ltd, Beijing, China.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,49,Michael Matheny,40,"VINCI, Tennessee Valley Healthcare System VA, Nashville, TN & Department of Biomedical Informatics, Vanderbilt University Medical Center, Nashville, TN.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,50,Neus Valveny,41,"Real-World Evidence, TFS, Barcelona, Spain.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,51,Nicole Weiskopf,20,"Department of Medical Informatics & Clinical Epidemiology, Oregon Health & Science University, Portland, OR, USA.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,52,Nigam Shah,42,Stanford University.,"PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,53,Osaid Alser,43,"Massachusetts General Hospital, Harvard Medical School, Boston, MA, USA.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,54,Paula Casajust,44,Trial Form Support.,"PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,55,Rae Woong Park,28,"Department of Biomedical Sciences, Ajou University Graduate School of Medicine, Suwon, Korea.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,56,Robert Schuff,45,"Knight Cancer Institute, Oregon Health & Science University.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,57,Sarah Seager,2,"Real World Solutions, IQVIA, Cambridge, MA, USA.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,58,Scott DuVall,46,"VA Informatics and Computing Infrastructure, VA Salt Lake City Health Care System, Salt Lake City, UT, USA.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,59,Seng Chan You,47,"Department of Biomedical Informatics, Ajou University School of Medicine, Suwon, South Korea.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,60,Seokyoung Song,48,"Department of Anesthesiology and Pain Medicine, Catholic University of Daegu, School of Medicine, Daegu, Korea.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,61,Sergio Fernández-Bertolín,3,"Fundació Institut Universitari per a la recerca a l'Atenció Primària de Salut Jordi Gol i Gurina (IDIAPJGol), Barcelona, Spain.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,62,Stephen Fortin,49,"Observational Health Data Analytics, Janssen Research and Development, Raritan, NJ, USA.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,63,Tanja Magoc,23,University of Florida Health.,"PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,64,Thomas Falconer,15,"Department of Biomedical Informatics, Columbia University Irving Medical Center, New York, NY 10032, USA.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,65,Vignesh Subbian,50,"College of Engineering, The University of Arizona, Tucson, Arizona, USA.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,66,Vojtech Huser,51,"National Library of Medicine, National Institutes of Health, Bethesda, MD, USA.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,67,Waheed-Ul-Rahman Ahmed,52,"Nuffield Department of Orthopaedics, Rheumatology and Musculoskeletal Sciences, University of Oxford, Oxford, UK, 2) College of Medicine and Health, University of Exeter, St Luke's Campus, E.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,68,William Carter,53,"Data Science to Patient Value Program, School of Medicine, University of Colorado Anschutz Medical Campus, Aurora, CO, USA.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,69,Yin Guan,39,"DHC Technologies Co. Ltd, Beijing, China.","PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,70,Yankuic Galvan,23,University of Florida Health.,"PMC JATS XML failed: mismatched tag: line 268, column 6"
8,33688639,PMC7941629,10.21203/rs.3.rs-279400/v1,pubmed_xml,71,Xing He,23,University of Florida Health.,"PMC JATS XML failed: mismatched tag: line 268, column 6"
